SampleLabel,Date,Location,Trip,Year,Metric,Conc,Units,Notes
TO_C_3.21_PCH_R1,20210821,Topaz,3,2021,chlorophylla,1.00E-04,mg_per_cm2,NA
TO_C_3.21_PCH_R2,20210821,Topaz,3,2021,chlorophylla,0.0044,mg,NA
TO_C_3.21_PCH_R2,20210821,Topaz,3,2021,chlorophylla,0,mg_per_cm2,NA
TO_C_3.21_PCH_R3,20210821,Topaz,3,2021,chlorophylla,0.0057,mg,NA
TO_C_3.21_PCH_R3,20210821,Topaz,3,2021,chlorophylla,1.00E-04,mg_per_cm2,NA
HE_A_3.22_PCH_R1,20220818,Heather,3,2022,chlorophylla,0.0697,mg,NA
HE_A_3.22_PCH_R1,20220818,Heather,3,2022,chlorophylla,7.00E-04,mg_per_cm2,NA
HE_A_3.22_PCH_R2,20220818,Heather,3,2022,chlorophylla,0.0228,mg,NA
HE_A_3.22_PCH_R2,20220818,Heather,3,2022,chlorophylla,2.00E-04,mg_per_cm2,NA
HE_A_3.22_PCH_R3,20220818,Heather,3,2022,chlorophylla,0.0444,mg,NA
HE_A_3.22_PCH_R3,20220818,Heather,3,2022,chlorophylla,4.00E-04,mg_per_cm2,NA
HE_B_3.22_PCH_R1,20220818,Heather,3,2022,chlorophylla,0.0397,mg,NA
HE_B_3.22_PCH_R1,20220818,Heather,3,2022,chlorophylla,4.00E-04,mg_per_cm2,NA
HE_B_3.22_PCH_R2,20220818,Heather,3,2022,chlorophylla,0.0193,mg,NA
HE_B_3.22_PCH_R2,20220818,Heather,3,2022,chlorophylla,2.00E-04,mg_per_cm2,NA
HE_B_3.22_PCH_R3,20220818,Heather,3,2022,chlorophylla,0.0298,mg,NA
HE_B_3.22_PCH_R3,20220818,Heather,3,2022,chlorophylla,3.00E-04,mg_per_cm2,NA
HE_C_3.22_PCH_R1,20220818,Heather,3,2022,chlorophylla,0.0435,mg,NA
HE_C_3.22_PCH_R1,20220818,Heather,3,2022,chlorophylla,4.00E-04,mg_per_cm2,NA
HE_C_3.22_PCH_R2,20220818,Heather,3,2022,chlorophylla,0.0092,mg,NA
HE_C_3.22_PCH_R2,20220818,Heather,3,2022,chlorophylla,1.00E-04,mg_per_cm2,NA
HE_C_3.22_PCH_R3,20220818,Heather,3,2022,chlorophylla,0.0648,mg,NA
HE_C_3.22_PCH_R3,20220818,Heather,3,2022,chlorophylla,6.00E-04,mg_per_cm2,NA
EM_A_3.22_PCH_R1,20220820,Emerald,3,2022,chlorophylla,0.0262,mg,NA
EM_A_3.22_PCH_R1,20220820,Emerald,3,2022,chlorophylla,3.00E-04,mg_per_cm2,NA
EM_A_3.22_PCH_R2,20220820,Emerald,3,2022,chlorophylla,0.0212,mg,NA
EM_A_3.22_PCH_R2,20220820,Emerald,3,2022,chlorophylla,2.00E-04,mg_per_cm2,NA
EM_A_3.22_PCH_R3,20220820,Emerald,3,2022,chlorophylla,0.0211,mg,NA
