SampleLabel,Date,Location,Trip,Year,ConcCu,Units,Sample_Type
TO_A_4.22_SCU_DU,20220915,Topaz,4,2022,13.1,ug/g dry wt,Duplicate
EM_A_5.22_SCU_ZZ,20221015,Emerald,5,2022,2.75,ug/g dry wt,Standard
EM_B_5.22_SCU_DU,20221015,Emerald,5,2022,3.49,ug/g dry wt,Duplicate
EM_B_5.22_SCU_ZZ,20221015,Emerald,5,2022,2.57,ug/g dry wt,Standard
EM_C_5.22_SCU_ZZ,20221015,Emerald,5,2022,1.97,ug/g dry wt,Standard
FR_A_5.22_SCU_DU,20221014,Frog,5,2022,6.95,ug/g dry wt,Duplicate
FR_A_5.22_SCU_ZZ,20221014,Frog,5,2022,6.12,ug/g dry wt,Standard
FR_B_5.22_SCU_ZZ,20221014,Frog,5,2022,5.22,ug/g dry wt,Standard
FR_C_5.22_SCU_ZZ,20221014,Frog,5,2022,6.13,ug/g dry wt,Standard
HE_A_5.22_SCU_ZZ,20221013,Heather,5,2022,6.37,ug/g dry wt,Standard
HE_B_5.22_SCU_ZZ,20221013,Heather,5,2022,5.74,ug/g dry wt,Standard
HE_C_5.22_SCU_DU,20221013,Heather,5,2022,2.43,ug/g dry wt,Duplicate
HE_C_5.22_SCU_ZZ,20221013,Heather,5,2022,1.94,ug/g dry wt,Standard
LY_A_5.22_SCU_ZZ,20221012,Lyness,5,2022,9.53,ug/g dry wt,Standard
LY_B_5.22_SCU_DU,20221012,Lyness,5,2022,11.3,ug/g dry wt,Duplicate
LY_B_5.22_SCU_ZZ,20221012,Lyness,5,2022,10.4,ug/g dry wt,Standard
LY_C_5.22_SCU_ZZ,20221012,Lyness,5,2022,8.56,ug/g dry wt,Standard
PE_A_5.22_SCU_DU,20221011,Pear,5,2022,2.01,ug/g dry wt,Duplicate
PE_A_5.22_SCU_ZZ,20221011,Pear,5,2022,7.54,ug/g dry wt,Standard
PE_B_5.22_SCU_ZZ,20221011,Pear,5,2022,1.74,ug/g dry wt,Standard
PE_C_5.22_SCU_ZZ,20221011,Pear,5,2022,4.63,ug/g dry wt,Standard
TO_A_5.22_SCU_DU,20221014,Topaz,5,2022,8.71,ug/g dry wt,Duplicate
TO_A_5.22_SCU_ZZ,20221014,Topaz,5,2022,9.58,ug/g dry wt,Standard
TO_B_5.22_SCU_ZZ,20221014,Topaz,5,2022,8.75,ug/g dry wt,Standard
TO_C_5.22_SCU_ZZ,20221014,Topaz,5,2022,12.8,ug/g dry wt,Standard
