Year,Trip,Date,Time,Location,Depth_m,Placement,NomDepth_m,Metric,Units,Value
2021,2,20210724,12:41:55,Emerald,4.193,mid,5,pH,NA,7.2
2021,2,20210724,12:41:55,Emerald,4.193,mid,5,Temperature,degrees Celsius,20.74
2021,2,20210724,12:42:00,Emerald,4.194,mid,5,Chlorophylla,RFU,0
2021,2,20210724,12:42:00,Emerald,4.194,mid,5,DO,mg/L,6.87
2021,2,20210724,12:42:00,Emerald,4.194,mid,5,Conductivity,uS/cm,5.1
2021,2,20210724,12:42:00,Emerald,4.194,mid,5,Phycocyanin,RFU,0
2021,2,20210724,12:42:00,Emerald,4.194,mid,5,pH,NA,7.2
2021,2,20210724,12:42:00,Emerald,4.194,mid,5,Temperature,degrees Celsius,20.738
2021,2,20210724,12:42:05,Emerald,4.194,mid,5,Chlorophylla,RFU,0
2021,2,20210724,12:42:05,Emerald,4.194,mid,5,DO,mg/L,6.86
2021,2,20210724,12:42:05,Emerald,4.194,mid,5,Conductivity,uS/cm,5.1
2021,2,20210724,12:42:05,Emerald,4.194,mid,5,Phycocyanin,RFU,0
2021,2,20210724,12:42:05,Emerald,4.194,mid,5,pH,NA,7.2
2021,2,20210724,12:42:05,Emerald,4.194,mid,5,Temperature,degrees Celsius,20.74
2021,2,20210724,12:42:10,Emerald,4.192,mid,5,Chlorophylla,RFU,0
2021,2,20210724,12:42:10,Emerald,4.192,mid,5,DO,mg/L,6.85
2021,2,20210724,12:42:10,Emerald,4.192,mid,5,Conductivity,uS/cm,5.1
2021,2,20210724,12:42:10,Emerald,4.192,mid,5,Phycocyanin,RFU,0
2021,2,20210724,12:42:10,Emerald,4.192,mid,5,pH,NA,7.2
2021,2,20210724,12:42:10,Emerald,4.192,mid,5,Temperature,degrees Celsius,20.745
2021,2,20210724,12:42:15,Emerald,4.192,mid,5,Chlorophylla,RFU,0
2021,2,20210724,12:42:15,Emerald,4.192,mid,5,DO,mg/L,6.85
2021,2,20210724,12:42:15,Emerald,4.192,mid,5,Conductivity,uS/cm,5.1
2021,2,20210724,12:42:15,Emerald,4.192,mid,5,Phycocyanin,RFU,0
2021,2,20210724,12:42:15,Emerald,4.192,mid,5,pH,NA,7.2
2021,2,20210724,12:42:15,Emerald,4.192,mid,5,Temperature,degrees Celsius,20.745
2021,2,20210724,12:42:20,Emerald,4.191,mid,5,Chlorophylla,RFU,0
2021,2,20210724,12:42:20,Emerald,4.191,mid,5,DO,mg/L,6.84
2021,2,20210724,12:42:20,Emerald,4.191,mid,5,Conductivity,uS/cm,5.1
2021,2,20210724,12:42:20,Emerald,4.191,mid,5,Phycocyanin,RFU,0
2021,2,20210724,12:42:20,Emerald,4.191,mid,5,pH,NA,7.19
2021,2,20210724,12:42:20,Emerald,4.191,mid,5,Temperature,degrees Celsius,20.743
2021,2,20210724,12:42:25,Emerald,4.192,mid,5,Chlorophylla,RFU,0
2021,2,20210724,12:42:25,Emerald,4.192,mid,5,DO,mg/L,6.84
2021,2,20210724,12:42:25,Emerald,4.192,mid,5,Conductivity,uS/cm,5.1
2021,2,20210724,12:42:25,Emerald,4.192,mid,5,Phycocyanin,RFU,0
2021,2,20210724,12:42:25,Emerald,4.192,mid,5,pH,NA,7.19
2021,2,20210724,12:42:25,Emerald,4.192,mid,5,Temperature,degrees Celsius,20.733
2021,2,20210724,12:42:30,Emerald,4.186,mid,5,Chlorophylla,RFU,0
2021,2,20210724,12:42:30,Emerald,4.186,mid,5,DO,mg/L,6.83
2021,2,20210724,12:42:30,Emerald,4.186,mid,5,Conductivity,uS/cm,5.1
2021,2,20210724,12:42:30,Emerald,4.186,mid,5,Phycocyanin,RFU,0
2021,2,20210724,12:42:30,Emerald,4.186,mid,5,pH,NA,7.19
2021,2,20210724,12:42:30,Emerald,4.186,mid,5,Temperature,degrees Celsius,20.734
2021,2,20210724,12:43:40,Emerald,8.051,bottom,9,Chlorophylla,RFU,0
2021,2,20210724,12:43:40,Emerald,8.051,bottom,9,DO,mg/L,8.52
2021,2,20210724,12:43:40,Emerald,8.051,bottom,9,Conductivity,uS/cm,5.1
2021,2,20210724,12:43:40,Emerald,8.051,bottom,9,Phycocyanin,RFU,0.2
2021,2,20210724,12:43:40,Emerald,8.051,bottom,9,pH,NA,7.13
2021,2,20210724,12:43:40,Emerald,8.051,bottom,9,Temperature,degrees Celsius,14.085
2021,2,20210724,12:43:45,Emerald,8.068,bottom,9,Chlorophylla,RFU,0
2021,2,20210724,12:43:45,Emerald,8.068,bottom,9,DO,mg/L,8.59
2021,2,20210724,12:43:45,Emerald,8.068,bottom,9,Conductivity,uS/cm,5.1
2021,2,20210724,12:43:45,Emerald,8.068,bottom,9,Phycocyanin,RFU,0.24
2021,2,20210724,12:43:45,Emerald,8.068,bottom,9,pH,NA,7.13
2021,2,20210724,12:43:45,Emerald,8.068,bottom,9,Temperature,degrees Celsius,14.063
2021,2,20210724,12:43:50,Emerald,8.086,bottom,9,Chlorophylla,RFU,0
2021,2,20210724,12:43:50,Emerald,8.086,bottom,9,DO,mg/L,8.66
2021,2,20210724,12:43:50,Emerald,8.086,bottom,9,Conductivity,uS/cm,5.1
2021,2,20210724,12:43:50,Emerald,8.086,bottom,9,Phycocyanin,RFU,0.27
2021,2,20210724,12:43:50,Emerald,8.086,bottom,9,pH,NA,7.13
2021,2,20210724,12:43:50,Emerald,8.086,bottom,9,Temperature,degrees Celsius,14.037
2021,2,20210724,12:43:55,Emerald,8.098,bottom,9,Chlorophylla,RFU,0
